canonical_smiles,pchembl_value
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,7.62
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,8.35
CN1C(=O)COc2cc(Cn3c(=O)c4cncn4c4ccccc43)ccc21,7.13
CN1C(=O)[C@@H](N2CCc3cn(Cc4ccccc4)nc3C2=O)COc2ccccc21,6.43
CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,7.3
CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O,5.96
CNC(=O)Nc1ccc2c(c1)[C@@]1(CC2)OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O,5.59
CNC(=O)c1ccc(OCc2c(-c3ccc(C)nc3)noc2C)nc1F,7.83
COC(=O)c1cc2c(cn1)[nH]c1ccc(NCc3ccccc3)cc12,8.3
COC(=O)c1cc2c(cn1)[nH]c1ccccc12,8.85
COC1CN(C(=O)c2ccc(OCc3c(-c4ccc(C)nc4)noc3C)nn2)C1,8.07
COCC1(NC(=O)c2ccc(OCc3c(-c4ccc(C)nc4)noc3C)nn2)CC1,7.7
COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4)cc3c12,9.0
COCc1ncn2c1CN(C)C(=O)c1cc(Cl)ccc1-2,6.44
CO[C@@H]1CC[C@@H](NC(=O)c2ccc(OCc3c(-c4ccc(C)nc4)noc3C)nn2)C1,8.12
CO[C@H]1CC[C@@H](NC(=O)c2ccc(OCc3c(-c4ccc(C)nc4)noc3C)nn2)CC1,7.74
CO[C@H]1CC[C@H](NC(=O)c2ccc(OCc3c(-c4ccc(C)nc4)noc3C)nn2)CC1,8.0
CO[C@H]1C[C@@H](NC(=O)c2ccc(OCc3c(-c4ccc(C)nc4)noc3C)nn2)C1,7.94
CO[C@H]1C[C@H](NC(=O)c2ccc(OCc3c(-c4ccc(C)nc4)noc3C)nn2)C1,8.07
COc1cc(-c2cn([C@H]3CCc4ccccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1ccc(C)n1,5.29
COc1cc(Cl)c2c(c1)n(Cc1cccnc1)c(=O)c1cncn12,6.17
COc1cc(Cl)c2c(c1)n(Cc1cnccc1C)c(=O)c1cncn12,5.68
COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,6.31
COc1cc(OCc2c(-c3ccc(C)nc3)noc2C)ncc1C(=O)NC1CCOCC1,8.33
COc1ccc(-c2cn3c(O)nc4c(c3n2)CN(Cc2ccccc2)CC4)cc1,7.55
COc1ccc(-c2noc(C)c2COc2ccc(C(=O)N3CCS(=O)(=O)CC3)cn2)cn1,7.25
COc1ccc(-c2noc(C)c2COc2ccc(C(=O)NC(C)C)cn2)cn1,7.03
COc1ccc(-n2nc3c4ccccc4[nH]cc-3c2=O)cc1,10.0
COc1ccc2c(c1)O[C@@H](c1ccc(OC)c(OC)c1)C[C@H]2NC(=O)C1(c2ccc3c(c2)OC(F)(F)O3)CC1,7.71
COc1ccc2c(c1)O[C@H](c1ccc(OC)c(OC)c1)C[C@@H]2NC(=O)C1(c2ccc3c(c2)OC(F)(F)O3)CC1,6.66
COc1ccc2c(c1)[nH]c1c2ncc2[nH]c3ccccc3c21,8.52
COc1ccc2c(c1)n(Cc1cccnc1)c(=O)c1cncn12,6.92
COc1cccc(F)c1C1=NCc2cnc(Nc3ccc(C(=O)O)cc3)nc2-c2ccc(Cl)cc21,6.82
COc1ncccc1-c1cc(-n2cnc3cc(C(C)(C)O)ccc32)ccn1,8.92
CSC1SC(C(=O)c2ccc(Cl)cc2)C2CCCC(=O)C12,6.24
CSc1nccc(-c2ccc(S(=O)(=O)Nc3ccc(Cl)cc3)s2)n1,6.33
